"";"raster_id";"shape_index";"FWIclass";"julday";"per_fc";"yearf";"feco";"fgener";"fresp";"area";"perimeter";"ftype"
"235";"NIP380_2006_1663_rbr";1,47469466;"Low";252;96,6031909418426;2006;"Lake Nipigon";"LTG";"MON";1628795,318;7528,272919;"IFR"
"236";"NIP338_2006_1664_rbr";2,19356528;"Moderate";251;28,2882882882883;2006;"Lake Nipigon";"LTG";"FUL";27202577,33;45763,11535;"IFR"
"237";"RED51_2011_1670_rbr";1,830876208;"Extreme";184;93,9894815927874;2011;"Lake St. Joseph";"UNK";"MON";1010333,308;7361,245602;"IFR"
"238";"NIP81_2006_1684_rbr";1,60853667;"High";196;92,6035502958579;2006;"Big Trout Lake";"LTG";"FUL";544237,3943;4746,627452;"IFR"
"239";"THU154_2006_1687_rbr";1,909975228;"High";251;99,8860348908565;2006;"Lake Nipigon";"LTG";"MON";9232697,864;23214,10999;"IFR"
"240";"THU133_2006_1688_rbr";2,283060361;"High";250;99,4176372712146;2006;"Lake Nipigon";"LTG";"FUL";3923823,531;18089,73142;"IFR"
"241";"THU192_2006_1689_rbr";1,337580412;"High";252;99,5531439514842;2006;"Lake Nipigon";"LTG";"FUL";2586129,29;8604,091259;"IFR"
"242";"THU232_2006_1690_rbr";3,104795547;"Extreme";250;97,1209604569164;2006;"Lake Nipigon";"LTG";"MON";27857158,45;65548,29587;"IFR"
"243";"DRY79_2006_1692_rbr";3,914070553;"Extreme";194;96,3617661625205;2006;"Lake Wabigoon";"UNK";"FUL";22084852,45;73575,95235;"IFR"
"244";"RED35_2011_1721_rbr";1,93092295;"High";184;98,6183897093854;2011;"Lake St. Joseph";"LTG";"MON";1603350,42;9780,006889;"IFR"
"245";"KEN91_2011_1748_rbr";1,801279387;"Moderate";223;72,0588235294118;2011;"Lake Wabigoon";"LTG";"FUL";342084,2218;4214,126734;"IFR"
"246";"WAW12_2011_1749_rbr";1,029684133;"Low";158;44,3804034582133;2011;"Lake Nipigon";"LTG";"FUL";580768,3447;3138,813271;"IFR"
"247";"RED32_2010_1751_rbr";2,538623601;"Extreme";145;95,8127134274393;2010;"Lake St. Joseph";"LTG";"FUL";43264930,14;66792,28604;"IFR"
"248";"RED44_2010_1753_rbr";1,536751678;"Moderate";234;99,7745716862038;2010;"Lake St. Joseph";"LTG";"FUL";1707359,003;8032,044609;"IFR"
"249";"RED26_2010_1755_rbr";2,781187712;"High";138;52,2799970244737;2010;"Lake St. Joseph";"IDF";"FUL";10618055,76;36250,39924;"IFR"
"250";"RED25_2010_1756_rbr";1,421338781;"Moderate";138;99,671052631579;2010;"Lake Wabigoon";"LTG";"FUL";495938,8636;4003,793485;"IFR"
"251";"NIP35_2010_1767_rbr";1,416470545;"High";169;99,2690058479532;2010;"Lake Nipigon";"REC";"FUL";557738,5894;4231,388353;"IFR"
"252";"FOR3_2010_1771_rbr";1,419439865;"Moderate";86;0,648298217179902;2010;"Agassiz Clay Plain";"INC";"FUL";4095756,361;11490,63545;"IFR"
"253";"RED114_2011_1778_rbr";1,91264435;"High";196;99,7134670487107;2011;"Lake St. Joseph";"LTG";"MON";2714529,09;12604,95975;"IFR"
"254";"RED122_2011_1794_rbr";2,078499538;"Moderate";201;99,7639034627493;2011;"Lake St. Joseph";"LTG";"FUL";2954680,161;14291,08367;"IFR"
"255";"RED50_2011_1813_rbr";3,106695636;"High";185;70,3102715212185;2011;"Lake St. Joseph";"LTG";"MON";28406863,26;66232,37661;"IFR"
"256";"RED85_2011_1818_rbr";6,299067118;"High";185;93,6612558286296;2011;"Lake St. Joseph";"LTG";"MOD";338217679,8;463376,9004;"IFR"
"257";"SLK61_2011_1819_rbr";3,945281107;"Extreme";185;99,5202984809452;2011;"Lake St. Joseph";"LTG";"FUL";44769682,06;105591,7407;"IFR"
"258";"SLK64_2011_1820_rbr";3,883611275;"Extreme";185;96,1920137281687;2011;"Lake St. Joseph";"LTG";"FUL";211284759,6;225803,0638;"IFR"
